ID,source,type,copyright,
1,"Afrifa, Grace Ampomaa, Jemima Asabea Anderson, and Gladys Nyarko Ansah. 2019. The choice of English as a home language in urban Ghana. Current Issues in Language Planning 20 (4) : 418–434.
",reference,,
2,"Afrobarometer Data, http://www.afrobarometer.org ",data source/reference,"“Afrobarometer data are protected by copyright. Authors of any published work based on Afrobarometer data or papers are required to acknowledge the source, including, where applicable, citations to data sets posted on this website. Please acknowledge the copyright holders in all publications resulting from the use of Afrobarometer data.”, https://www.afrobarometer.org/data/data-usage-and-access-policy/",
3,"Algemeen Bureau voor de Statistiek Suriname, https://statistics-suriname.org/  ",reference,"“Except where otherwise noted, content on this site is licensed under a Creative Commons Attribution 4.0 International license."" ",
4,"Australian Bureau of Statistics. 2021. Census of Population and Housing, https://www.abs.gov.au/census  ",data source/reference,Creative Commons Attribution 4.0 International licence,
5,"Australian Government, Department of Home Affairs, https://www.homeaffairs.gov.au/ ",data source,Creative Commons Attribution 3.0 Australia licence,
6,"Bailiwick Express Guernsey Edition, “Guernésiais and French to be made official languages”, Saturday 22 August 2020, https://gsy.bailiwickexpress.com/gsy/news/states-take-steps-preserve-guernesias/#.ZC6DkEjMKV4",reference,https://www.allisland.media/terms-of-use/,
7,"Census and Statistics Department, https://www.censtatd.gov.hk/en/",data source,https://www.censtatd.gov.hk/en/page_31.html,
8,"Central Statistics Office (CSO), Government of Ireland, https://www.cso.ie/en/  ",data source/reference,“The statistics and other information provided on this site are accessible free of charge and licensed under Creative Commons Attribution (version 4.0 cc-by)”.,
9,"Department of Census and Statistics, https://www.statistics.gov.lk/
",data source," “Data for the users are freely available with the DCS terms and conditions. Printed copies of published reports and other publications are available at the sales counter of the department and many of the reports can be freely downloaded from the DCS web. Data Dissemination policy of the DCS can be downloads from the DCS web on http://www.statistics.gov.lk/databases/data%20dissemination/DataDissaPolicy_2007Oct26.pdf.”, https://dsbb.imf.org/sdds/dqaf-base/country/LKA/category/NAG00#:~:text=Confidentiality%20of%20individuals%20is%20guaranteed%20under%20the%20Ordinance%20which%20states%20%E2%80%9C&text=shall%20disclose%20or%20facilitate%20the%20identification%20of,of%20any%20information%20supplied%20under%20this%20Ordinance.%E2%80%9D 

",
10,"Department of Statistics Singapore, https://www.singstat.gov.sg/",data source,"“Subject to these Terms of Use, we grant you free, worldwide, perpetual and non-exclusive use of the Contents made available on this Website for the purpose of (a) copying, distribution or transmission of the Contents and (b) using the Contents to develop or derive, for sale or otherwise, any products and services or to resell the Contents in any form to any Third Party, provided that you [...]”, https://www.singstat.gov.sg/terms-of-use.",
11,"Deuber, Dagmar. 2014. English in the Caribbean: Variation, Style and Standards in Jamaica and Trinidad. Cambridge: Cambridge University Press. ",reference,,
12,"Dietrich, Sandy, and Erik Hernandez. 2022. American Community Survey Reports, Language Use in the United States: 2019, United States Census Bureau, https://www.census.gov/library/publications/2022/acs/acs-50.html",data source/reference,,
13,"Draskau, Jennifer Kewley. Manx English. 2012. In: The Mouton World Atlas of Variation in English, Bernd Kortmann and Kerstin Lunkenheimer (eds.),  14–15. Berlin/Boston: De Gruyter Mouton.",reference,,
14,"Falkland Islands Government, https://www.falklands.gov.fk/ ",data source/reference,"“The Falkland Islands Government therefore agrees to make the information contained on this website available under licence on terms which are as far as possible identical to the United Kingdom Government’s Open Government Licence system, which can be accessed here: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/”, https://www.legislation.gov.fk/copyright",
15,"Farquharson, Joseph T., and Bettina Migge. 2009. Sociolinguistics in the Caribbean. In: Martin J. Ball (ed.), The Routledge Handbook of Sociolinguistics Around the World, 108–119. London: Routledge.",reference,,
16,"François, Alexandre, Sébastien Lacrampe, Michael Franjieh, and Stefan Schnell. 2015. The languages of Vanuatu: Unity and Diversity, vol. 5. Asia-Pacific Linguistics Open Access.",,,
17,generated within project,NA,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License,
18,"Geographic Information Science & Analysis Team, Rural & Environment Science and Analytical Services Division, Scottish Government. 2024. Urban Rural Classification 2022",data source,"Open Government Licence v3.0, except for graphic assets and where otherwise stated",
19,"Ghana Statistical Service, https://www.statsghana.gov.gh/",data source,"Unknown but Dissemination mentions “Our hope is for the census data products to be used for the data for research, policy-making and planning to solve the nation’s development challenges.“  https://census2021.statsghana.gov.gh/dissemination.php?readpage=MjU1OTk2Nzc3Ni41MjA1&Dissemination 
",
20,"google maps, https://www.google.com/maps",data source,"Google Terms of Service, https://www.google.com/intl/en_de/help/terms_maps/ ",
21,"Hammarström, Harald, Robert Forkel,  Martin Haspelmath, and Sebastian Bank. 2022. Glottolog 4.7. Leipzig: Max Planck Institute for Evolutionary Anthropology. https://doi.org/10.5281/zenodo.7398962, http://glottolog.org ",reference,Creative Commons Attribution 4.0 International License,
22,"Hammarström, Harald, Robert Forkel, Martin Haspelmath, and Sebastian Bank. 2023. Glottolog 4.8. Leipzig: Max Planck Institute for Evolutionary Anthropology. https://doi.org/10.5281/zenodo.8131084, http://glottolog.org",data source,Creative Commons Attribution 4.0 International License,
23,"Hammarström, Harald, Robert Forkel, Martin Haspelmath, and Sebastian Bank. 2024. Glottolog 5.0. Leipzig: Max Planck Institute for Evolutionary Anthropology. https://doi.org/10.5281/zenodo.10804357, http://glottolog.org
",data source,Creative Commons Attribution 4.0 International License,
24,"Honkanen, Mirka. 2020. World Englishes on the Web: The Nigerian Diaspora in the USA (Varieties of English Around the World G63). Amsterdam & Philadelphia: John Benjamins.",reference,,
25,"Information and public services for the Island of Jersey, https://www.gov.je/Leisure/Jersey/Pages/Language.aspx ",reference,"“Copyright protected material may be reproduced free of charge in any format or medium for research, private study or for internal circulation within an organisation. This is subject to the material being reproduced accurately and not being used in a misleading context.”, https://www.gov.je/Pages/Terms.aspx.",
26,"Isle of Man Government, https://www.gov.im/   ",data source/reference,Isle of Man Open Government Licence For Public Sector Information,
27,"Kortmann, Bernd, Kerstin Lunkenheimer, and Katharina Ehret (eds.). 2020. The Electronic World Atlas of Varieties of English. Zenodo. DOI: 10.5281/zenodo.3712132, http://ewave-atlas.org",data source,Creative Commons Attribution 3.0 Unported License,
28,"Léglise, Isabelle. Isabelle Léglise – French Guiana – Languages Spoken, https://leglise.cnrs.fr/spip.php?rubrique5  ",reference,"“Propriété intellectuelle  Le site Langues parlées en Guyane est une œuvre de création, propriété exclusive du chercheur Isabelle Léglise - Recherches guyanaises - Langues parlées en Guyane, protégée par la législation française et internationale sur le droit de la propriété intellectuelle. Aucune reproduction ou représentation ne peut être réalisée en contravention avec les droits du projet Isabelle Léglise - Recherches guyanaises - Langues parlées en Guyane issus de la législation susvisée”. https://leglise.cnrs.fr/spip.php?page=credits&lang=fr ",
29,"Liyanage, Indika. 2022. English Language Education Policy in Sri Lanka: Historical Developments, Current Realities and Future Challenges. In: Ee Ling Low and Anne Pakir (eds.), English in East and South Asia: Policy, Features and Language in Use, Routledge Studies in World Englishes. London/New York: Routledge.
",reference,,
30,"Mac Síthigh, Daithí. 2018. Official Status of Languages in the UK and Ireland. Common Law World Review, 47 (1): 77–102. https://doi.org/10.1177/1473779518773642",reference,,
31,"Michaelis, Susanne Maria, Philippe Maurer, Martin Haspelmath, and Magnus Huber (eds.). 2013. Atlas of Pidgin and Creole Language Structures Online (APiCS). Leipzig: Max Planck Institute for Evolutionary Anthropology. http://apics-online.info 
",data source,Creative Commons Attribution 4.0 International,
32,"Motel, Seth, and Eileen Patten. 2012. “The 10 Largest Hispanic Origin Groups: Characteristics, Rankings, Top Counties”. Pew Research Center. Washington, D.C. https://www.pewresearch.org/ ",reference,,
33,"Namyalo, Saudah, Bebwa Isingoma, and Christiane Meierkord. 2016. Towards assessing the space of English in Uganda’s linguistic ecology. In Christiane Meierkord, Bebwa Isingoma, and Saudah Namyalo (eds.), Ugandan English: its Sociolinguistics, Structure and Uses in a Globalising Post-Protectorate. John Benjamins Publishing Company 2016: 19–49.
",reference,,
34,"National Assembly of Pakistan, The constitution of the Islamic Republic of Pakistan [As modified upto the 21st October, 2024], https://www.na.gov.pk/en/index.php ",reference,,
35,"National Records of Scotland, Census 2011, https://www.scotlandscensus.gov.uk/",data source/reference,"Open Government Licence, https://www.nrscotland.gov.uk/copyright-and-disclaimer",
36,"National Records of Scotland, Census 2022, https://www.scotlandscensus.gov.uk/",data source,"Open Government Licence, https://www.nrscotland.gov.uk/copyright-and-disclaimer",
37,"Northern Ireland Statistics and Research Agency, Census 2021, https://www.nisra.gov.uk/",data source/reference,https://www.nisra.gov.uk/crown-copyright ,
38,"OECD. 2019. Skills Matter: Additional Results from the Survey of Adult Skills. OECD Skills Studies. OECD Publishing, Paris, https://doi.org/10.1787/1f029d8f-en, Annex A, Table A2.1 “Percentage of Adults Scoring at Each Proficiency Level in Literacy”, last accessed 21.02.2024",data source/reference,,
39,"Office for National Statistics (ONS), Census 2021, https://www.ons.gov.uk/census, last accessed 19.02.2024",data source/reference,"Open Government Licence for public sector information,  https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/",
40,"Office of Registrar General and Census Commissioner, India, Ministry of Home Affairs, Government of India, https://censusindia.gov.in/census.website/ ",data source/reference,"“Information in the website is for the benefit of the users. Material featured on this website if used, has to be reproduced accurately and should not be used in a derogatory manner or in a misleading context. Wherever the material is being published or issued to others, the source must be prominently acknowledged.”, https://censusindia.gov.in/census.website/node/288 ",
41,"Open Africa data, https://open.africa/",data source/reference,http://opendefinition.org/licenses/cc-by/,
42,"Pacific Data Hub, https://pacificdata.org/",data source,"“The Pacific Data Hub hosts datasets under a range of different licences to cater for the specific intellectual property protection requirements of various datasets. By accessing specific dataset pages, users impliedly agree to comply with the terms of the specific licence applicable to each dataset, as described on the respective dataset pages. This includes attributing the data custodian in the manner specified in the relevant licence when using content from the dataset, and complying with the relevant copyright terms, as applicable.” https://pacificdata.org/terms-use ",
43,"Pakistan Bureau of Statistics, Government of Pakistan, Census 2017, Final Results of Census-2017",data source/reference,“The previous policy adopted by PBS for data supply was that aggregate level data (tabulation) was provided to the users free of charges and this practice will continue.”,
44,"Philippines Statistics Authority (PSA), Population and Housing, https://psa.gov.ph/statistics/population-and-housing",data source/reference,Open Data with Creative Commons Attribution License (cc-by).,
45,"Report of the Select Committee on the Greater use of Manx Gaelic, Extracts from the Votes and Proceedings from 12 December 1985, from 18.06.1985, retrieved from Council of Europe, https://rm.coe.int/16806dcc90 
",reference,,
46,"Republic of the Philippines, Senate Electoral Tribunal, 1987 Constitution, https://www.set.gov.ph/ ",reference,,
47,"Robert Bailey. 2012. Chicano English. In: The Mouton World Atlas of Variation in English, Bernd Kortmann and Kerstin Lunkenheimer (eds.), 156–165. Berlin: De Gruyter Mouton.",reference,,
48,"Social Weather Stations, https://www.sws.org.ph/swsmain/home/",data source,retains copyright according to their website, no other terms of use found
49,"Statistics Canada, https://www12.statcan.gc.ca/census-recensement/index-eng.cfm?MM=1",data source,https://www.statcan.gc.ca/en/terms-conditions/open-licence,
50,"Stats NZ, https://www.stats.govt.nz/",data source/reference,Creative Commons 4.0 International Licence,
51,"The Government of the Hong Kong Special Administrative Region, Census and Statistics Department",data source,https://www.censtatd.gov.hk/en/page_31.html ,
